                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    122,                0.43932,                0.25034,                0.84588,                0.99747,                      1,                  0.995,                0.91809,                0.44713,                0.21563,                   0.82,               0.000604,               0.000604,               0.000604
                    123,                0.45499,                0.25723,                0.84707,                0.99716,                      1,                  0.995,                0.91888,                0.45616,                0.21806,                0.81652,              0.0006007,              0.0006007,              0.0006007
                    124,                0.45629,                0.25602,                0.84852,                0.99792,                      1,                  0.995,                0.92196,                 0.4583,                0.21945,                0.81359,              0.0005974,              0.0005974,              0.0005974
                    125,                 0.4552,                0.25198,                0.85098,                 0.9974,                      1,                  0.995,                0.92229,                0.43856,                0.20665,                0.80877,              0.0005941,              0.0005941,              0.0005941
                    126,                0.45362,                0.25252,                0.85348,                0.99777,                      1,                  0.995,                0.92407,                0.43037,                0.20972,                0.80291,              0.0005908,              0.0005908,              0.0005908
                    127,                0.45506,                0.25382,                0.84157,                0.99702,                      1,                  0.995,                0.90276,                0.46606,                0.22342,                0.80838,              0.0005875,              0.0005875,              0.0005875
                    128,                0.45823,                0.25447,                0.84964,                0.99785,                      1,                  0.995,                0.91891,                0.45142,                0.21086,                0.80544,              0.0005842,              0.0005842,              0.0005842
                    129,                0.46102,                0.25295,                0.84368,                0.99825,                      1,                  0.995,                0.92412,                0.44824,                0.21792,                 0.8034,              0.0005809,              0.0005809,              0.0005809
                    130,                0.44633,                0.25347,                0.84896,                0.99816,                      1,                  0.995,                0.91635,                0.45462,                0.23251,                0.80744,              0.0005776,              0.0005776,              0.0005776
                    131,                0.44858,                0.25539,                0.84812,                0.99749,                      1,                  0.995,                0.91886,                 0.4614,                0.22332,                0.81413,              0.0005743,              0.0005743,              0.0005743
                    132,                0.45665,                0.26577,                0.86024,                0.99764,                      1,                  0.995,                0.92062,                0.45767,                0.21983,                0.81498,               0.000571,               0.000571,               0.000571
                    133,                0.45515,                0.26486,                0.84664,                 0.9984,                      1,                  0.995,                0.91574,                0.48253,                0.23192,                0.82562,              0.0005677,              0.0005677,              0.0005677
                    134,                0.45881,                0.26369,                0.84836,                 0.9986,                      1,                  0.995,                0.91996,                0.47367,                0.23497,                0.81885,              0.0005644,              0.0005644,              0.0005644
                    135,                0.47285,                0.26429,                0.84696,                 0.9968,                      1,                  0.995,                0.89494,                0.50661,                0.24525,                0.81226,              0.0005611,              0.0005611,              0.0005611
                    136,                0.43951,                0.25424,                0.84324,                0.99734,                      1,                  0.995,                0.90963,                0.47649,                 0.2246,                0.81006,              0.0005578,              0.0005578,              0.0005578
                    137,                0.45328,                0.25373,                0.84512,                0.99589,                      1,                  0.995,                0.90461,                0.48835,                0.22506,                0.81428,              0.0005545,              0.0005545,              0.0005545
                    138,                0.44945,                0.24994,                0.83748,                 0.9957,                      1,                  0.995,                0.92046,                0.44917,                 0.2087,                0.80943,              0.0005512,              0.0005512,              0.0005512
                    139,                 0.4422,                0.24653,                0.84719,                0.99722,                      1,                  0.995,                 0.9231,                0.43037,                0.21891,                0.80491,              0.0005479,              0.0005479,              0.0005479
                    140,                0.44835,                0.24726,                0.84663,                0.99679,                      1,                  0.995,                0.91875,                 0.4379,                0.23723,                 0.8066,              0.0005446,              0.0005446,              0.0005446
                    141,                0.44592,                 0.2488,                0.84585,                0.99777,                      1,                  0.995,                  0.918,                0.46372,                0.22329,                0.80527,              0.0005413,              0.0005413,              0.0005413
                    142,                0.44191,                0.25127,                0.83964,                0.99799,                      1,                  0.995,                 0.9139,                0.45221,                0.20988,                0.80556,               0.000538,               0.000538,               0.000538
                    143,                0.43222,                0.23547,                0.83483,                 0.9981,                      1,                  0.995,                0.91386,                0.44548,                 0.2055,                0.80404,              0.0005347,              0.0005347,              0.0005347
                    144,                0.43835,                0.23811,                0.84523,                0.99808,                      1,                  0.995,                0.93119,                0.42699,                0.20006,                0.80065,              0.0005314,              0.0005314,              0.0005314
                    145,                0.44355,                 0.2457,                0.84152,                0.99922,                      1,                  0.995,                0.92251,                0.44229,                0.21275,                0.80093,              0.0005281,              0.0005281,              0.0005281
                    146,                0.43178,                0.23944,                0.84184,                0.99958,                      1,                  0.995,                0.91671,                0.44955,                0.21577,                0.80262,              0.0005248,              0.0005248,              0.0005248
                    147,                0.44699,                0.24119,                0.85097,                0.99921,                      1,                  0.995,                0.92337,                0.43624,                0.20025,                 0.8011,              0.0005215,              0.0005215,              0.0005215
                    148,                0.44297,                0.24417,                0.84345,                0.99891,                      1,                  0.995,                0.91882,                0.45756,                0.21933,                0.80852,              0.0005182,              0.0005182,              0.0005182
                    149,                0.45142,                0.25437,                0.84999,                0.99921,                      1,                  0.995,                0.92221,                0.46386,                 0.2266,                0.80323,              0.0005149,              0.0005149,              0.0005149
                    150,                0.45288,                0.25713,                0.84457,                0.99831,                      1,                  0.995,                0.92361,                0.44522,                0.21246,                0.81091,              0.0005116,              0.0005116,              0.0005116
                    151,                0.45531,                0.24838,                0.84778,                0.99784,                      1,                  0.995,                0.91764,                0.43873,                0.20441,                0.80402,              0.0005083,              0.0005083,              0.0005083
                    152,                0.44412,                0.24445,                0.84632,                0.99713,                      1,                  0.995,                0.91263,                0.44487,                 0.2014,                0.80433,               0.000505,               0.000505,               0.000505
                    153,                0.43015,                0.23619,                0.84225,                0.99837,                      1,                  0.995,                0.92271,                0.43645,                0.20711,                0.80087,              0.0005017,              0.0005017,              0.0005017
                    154,                 0.4378,                0.24119,                0.83981,                0.99748,                      1,                  0.995,                0.91713,                0.43765,                0.21766,                0.79638,              0.0004984,              0.0004984,              0.0004984
